label,phi,commit,residual,parity,templates
W1_S1_C1,2.0,NOR,0,0,conjunctive
W1_S6_C1,0.5,XOR,1,1,parity
W1_S7_C1,2.0,NAND,0,0,conjunctive
W1_S8_C1,2.0,AND,0,0,conjunctive
W1_S9_C1,0.5,XNOR,1,1,parity
W1_S14_C1,2.0,OR,0,0,conjunctive
W1_S2_C2,2.0,W&~C,0,0,conjunctive
W1_S4_C2,2.0,~W&C,0,0,conjunctive
W1_S6_C2,0.5,XOR,1,1,parity
W1_S9_C2,0.5,XNOR,1,1,parity
W1_S11_C2,2.0,~W|C,0,0,conjunctive
W1_S13_C2,2.0,W|~C,0,0,conjunctive
W2_S2_C1,2.0,W&~C,0,0,conjunctive
W2_S4_C1,2.0,~W&C,0,0,conjunctive
W2_S6_C1,0.5,XOR,1,1,parity
W2_S9_C1,0.5,XNOR,1,1,parity
W2_S11_C1,2.0,~W|C,0,0,conjunctive
W2_S13_C1,2.0,W|~C,0,0,conjunctive
W2_S1_C2,2.0,NOR,0,0,conjunctive
W2_S6_C2,0.5,XOR,1,1,parity
W2_S7_C2,2.0,NAND,0,0,conjunctive
W2_S8_C2,2.0,AND,0,0,conjunctive
W2_S9_C2,0.5,XNOR,1,1,parity
W2_S14_C2,2.0,OR,0,0,conjunctive
